"","Kingdom","phyla","class","family","genus","species","unique"
"Ignavibacterium","Bacteria","Ignavibacteriae","Ignavibacteria","Ignavibacteriales","Ignavibacteriaceae","Ignavibacterium","Ignavibacterium"
"Melioribacter","Bacteria","Ignavibacteriae","Ignavibacteria","Ignavibacteriales","Ignavibacteriaceae","Melioribacter","Melioribacter"
"Latescibacteria_genera_incertae_sedis","Bacteria","Latescibacteria","Latescibacteria_genera_incertae_sedis","Latescibacteria_genera_incertae_sedis","Latescibacteria_genera_incertae_sedis","Latescibacteria_genera_incertae_sedis","Latescibacteria_genera_incertae_sedis"
"Lentisphaera","Bacteria","Lentisphaerae","Lentisphaeria","Lentisphaerales","Lentisphaeraceae","Lentisphaera","Lentisphaera"
"Victivallis","Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallaceae","Victivallis","Victivallis"
"Oligosphaera","Bacteria","Lentisphaerae","Oligosphaeria","Oligosphaerales","Oligosphaeraceae","Oligosphaera","Oligosphaera"
"Marinimicrobia_genera_incertae_sedis","Bacteria","Marinimicrobia","Marinimicrobia_genera_incertae_sedis","Marinimicrobia_genera_incertae_sedis","Marinimicrobia_genera_incertae_sedis","Marinimicrobia_genera_incertae_sedis","Marinimicrobia_genera_incertae_sedis"
"Nitrospina","Bacteria","Nitrospinae","Nitrospinia","Nitrospinales","Nitrospinaceae","Nitrospina","Nitrospina"
"Nitrospira","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira","Nitrospira"
"Omnitrophica_genera_incertae_sedis","Bacteria","Omnitrophica","Omnitrophica_genera_incertae_sedis","Omnitrophica_genera_incertae_sedis","Omnitrophica_genera_incertae_sedis","Omnitrophica_genera_incertae_sedis","Omnitrophica_genera_incertae_sedis"
"Parcubacteria_genera_incertae_sedis","Bacteria","Parcubacteria","Parcubacteria_genera_incertae_sedis","Parcubacteria_genera_incertae_sedis","Parcubacteria_genera_incertae_sedis","Parcubacteria_genera_incertae_sedis","Parcubacteria_genera_incertae_sedis"
"Phycisphaera","Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","Phycisphaera","Phycisphaera"
"Tepidisphaera","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","Tepidisphaeraceae","Tepidisphaera","Tepidisphaera"
"Candidatus Anammoxoglobus","Bacteria","Planctomycetes","Planctomycetia","Candidatus Brocadiales","Candidatus Brocadiaceae","Candidatus Anammoxoglobus","Candidatus Anammoxoglobus"
"Candidatus Brocadia","Bacteria","Planctomycetes","Planctomycetia","Candidatus Brocadiales","Candidatus Brocadiaceae","Candidatus Brocadia","Candidatus Brocadia"
"Aquisphaera","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Aquisphaera","Aquisphaera"
"Blastopirellula","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Blastopirellula","Blastopirellula"
"Gemmata","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Gemmata","Gemmata"
"Gimesia","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Gimesia","Gimesia"
"Pirellula","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Pirellula","Pirellula"
"Planctomicrobium","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Planctomicrobium","Planctomicrobium"
"Planctopirus","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Planctopirus","Planctopirus"
"Rhodopirellula","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Rhodopirellula","Rhodopirellula"
"Rubinisphaera","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Rubinisphaera","Rubinisphaera"
"Telmatocola","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Telmatocola","Telmatocola"
"Zavarzinella","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Zavarzinella","Zavarzinella"
"Poribacteria_genera_incertae_sedis","Bacteria","Poribacteria","Poribacteria_genera_incertae_sedis","Poribacteria_genera_incertae_sedis","Poribacteria_genera_incertae_sedis","Poribacteria_genera_incertae_sedis","Poribacteria_genera_incertae_sedis"
"Geminicoccus","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_incertae_sedis","Geminicoccus","Geminicoccus","Geminicoccus"
"Brevundimonas","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","Brevundimonas"
"Phenylobacterium","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium","Phenylobacterium"
"Algimonas","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Algimonas","Algimonas"
"Fretibacter","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Fretibacter","Fretibacter"
"Glycocaulis","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Glycocaulis","Glycocaulis"
"Hellea","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hellea","Hellea"
"Hyphomonas","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hyphomonas","Hyphomonas"
"Litorimonas","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Litorimonas","Litorimonas"
"Maricaulis","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Maricaulis","Maricaulis"
"Oceanicaulis","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Oceanicaulis","Oceanicaulis"
"Ponticaulis","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Ponticaulis","Ponticaulis"
"Robiginitomaculum","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Robiginitomaculum","Robiginitomaculum"
"Woodsholea","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Woodsholea","Woodsholea"
"Kiloniella","Bacteria","Proteobacteria","Alphaproteobacteria","Kiloniellales","Kiloniellaceae","Kiloniella","Kiloniella"
"Kordiimonas","Bacteria","Proteobacteria","Alphaproteobacteria","Kordiimonadales","Kordiimonadaceae","Kordiimonas","Kordiimonas"
"Temperatibacter","Bacteria","Proteobacteria","Alphaproteobacteria","Kordiimonadales","Temperatibacteraceae","Temperatibacter","Temperatibacter"
"Magnetococcus","Bacteria","Proteobacteria","Alphaproteobacteria","Magnetococcales","Magnetococcaceae","Magnetococcus","Magnetococcus"
"Parvularcula","Bacteria","Proteobacteria","Alphaproteobacteria","Parvularculales","Parvularculaceae","Parvularcula","Parvularcula"
"Methylovirgula","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylovirgula","Methylovirgula"
"Bosea","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bosea","Bosea"
"Bradyrhizobium","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium"
"Rhodopseudomonas","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Rhodopseudomonas","Rhodopseudomonas"
"Cohaesibacter","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Cohaesibacteraceae","Cohaesibacter","Cohaesibacter"
"Aquabacter","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Aquabacter","Aquabacter"
"Cucumibacter","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Cucumibacter","Cucumibacter"
"Devosia","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Devosia","Devosia"
"Filomicrobium","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Filomicrobium","Filomicrobium"
"Hyphomicrobium","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium","Hyphomicrobium"
"Methylobacterium","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium","Methylobacterium"
"Terasakiella","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylocystaceae","Terasakiella","Terasakiella"
"Hoeflea","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Hoeflea","Hoeflea"
"Lentilitoribacter","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Lentilitoribacter","Lentilitoribacter"
"Mesorhizobium","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium","Mesorhizobium"
"Nitratireductor","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Nitratireductor","Nitratireductor"
"Pseudahrensia","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Pseudahrensia","Pseudahrensia"
"Ensifer","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ensifer","Ensifer"
"Rhizobium","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","Rhizobium"
"Bauldia","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_incertae_sedis","Bauldia","Bauldia"
"Phreatobacter","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_incertae_sedis","Phreatobacter","Phreatobacter"
"Anderseniella","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodobiaceae","Anderseniella","Anderseniella"
"Dichotomicrobium","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodobiaceae","Dichotomicrobium","Dichotomicrobium"
"Lutibaculum","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodobiaceae","Lutibaculum","Lutibaculum"
"Methyloceanibacter","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodobiaceae","Methyloceanibacter","Methyloceanibacter"
"Parvibaculum","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodobiaceae","Parvibaculum","Parvibaculum"
"Rhodobium","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodobiaceae","Rhodobium","Rhodobium"
"Roseospirillum","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodobiaceae","Roseospirillum","Roseospirillum"
"Labrys","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Labrys","Labrys"
"Pseudolabrys","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","Pseudolabrys"
"Pseudoxanthobacter","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudoxanthobacter","Pseudoxanthobacter"
"Agaricicola","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Agaricicola","Agaricicola"
"Albidovulum","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Albidovulum","Albidovulum"
"Albimonas","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Albimonas","Albimonas"
"Aliiroseovarius","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Aliiroseovarius","Aliiroseovarius"
"Amaricoccus","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amaricoccus","Amaricoccus"
"Amylibacter","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amylibacter","Amylibacter"
"Celeribacter","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Celeribacter","Celeribacter"
"Cereibacter","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Cereibacter","Cereibacter"
"Defluviimonas","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Defluviimonas","Defluviimonas"
"Falsirhodobacter","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Falsirhodobacter","Falsirhodobacter"
"Frigidibacter","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Frigidibacter","Frigidibacter"
"Gaetbulicola","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Gaetbulicola","Gaetbulicola"
"Gemmobacter","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Gemmobacter","Gemmobacter"
"Jannaschia","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Jannaschia","Jannaschia"
"Labrenzia","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Labrenzia","Labrenzia"
"Litoreibacter","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Litoreibacter","Litoreibacter"
"Marivita","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Marivita","Marivita"
"Nesiotobacter","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Nesiotobacter","Nesiotobacter"
"Pacificibacter","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pacificibacter","Pacificibacter"
"Paenirhodobacter","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paenirhodobacter","Paenirhodobacter"
"Pelagicola","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pelagicola","Pelagicola"
"Pseudohalocynthiibacter","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudohalocynthiibacter","Pseudohalocynthiibacter"
"Pseudooctadecabacter","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudooctadecabacter","Pseudooctadecabacter"
"Pseudovibrio","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudovibrio","Pseudovibrio"
"Rhodothalassium","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodothalassium","Rhodothalassium"
"Rhodovulum","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodovulum","Rhodovulum"
"Roseibacterium","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Roseibacterium","Roseibacterium"
"Roseicitreum","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Roseicitreum","Roseicitreum"
"Roseicyclus","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Roseicyclus","Roseicyclus"
"Roseovarius","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Roseovarius","Roseovarius"
"Ruegeria","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Ruegeria","Ruegeria"
"Shimia","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Shimia","Shimia"
"Sulfitobacter","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sulfitobacter","Sulfitobacter"
"Tateyamaria","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Tateyamaria","Tateyamaria"
"Tropicibacter","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Tropicibacter","Tropicibacter"
"Roseococcus","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Roseococcus","Roseococcus"
"Roseomonas","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Roseomonas","Roseomonas"
"Saccharibacter","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Saccharibacter","Saccharibacter"
"Aestuariispira","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Aestuariispira","Aestuariispira"
"Elstera","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Elstera","Elstera"
"Lacibacterium","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Lacibacterium","Lacibacterium"
"Limimonas","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Limimonas","Limimonas"
"Magnetospira","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Magnetospira","Magnetospira"
"Magnetospirillum","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Magnetospirillum","Magnetospirillum"
"Magnetovibrio","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Magnetovibrio","Magnetovibrio"
"Marispirillum","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Marispirillum","Marispirillum"
"Nisaea","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Nisaea","Nisaea"
"Nitrospirillum","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Nitrospirillum","Nitrospirillum"
"Oceanibaculum","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Oceanibaculum","Oceanibaculum"
"Pelagibius","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Pelagibius","Pelagibius"
"Rhodospirillum","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodospirillum","Rhodospirillum"
"Rhodovibrio","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodovibrio","Rhodovibrio"
"Telmatospirillum","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Telmatospirillum","Telmatospirillum"
"Anaplasma","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Anaplasma","Anaplasma"
"Neorickettsia","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Neorickettsia","Neorickettsia"
"Orientia","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Orientia","Orientia"
"Rickettsia","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Rickettsia","Rickettsia"
"Candidatus Pelagibacter","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11","SAR11","Candidatus Pelagibacter","Candidatus Pelagibacter"
"Ferrovibrio","Bacteria","Proteobacteria","Alphaproteobacteria","Sneathiellales","Sneathiellaceae","Ferrovibrio","Ferrovibrio"
"Oceanibacterium","Bacteria","Proteobacteria","Alphaproteobacteria","Sneathiellales","Sneathiellaceae","Oceanibacterium","Oceanibacterium"
"Sneathiella","Bacteria","Proteobacteria","Alphaproteobacteria","Sneathiellales","Sneathiellaceae","Sneathiella","Sneathiella"
"Taonella","Bacteria","Proteobacteria","Alphaproteobacteria","Sneathiellales","Sneathiellaceae","Taonella","Taonella"
"Altererythrobacter","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Altererythrobacter","Altererythrobacter"
"Erythrobacter","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Erythrobacter","Erythrobacter"
"Porphyrobacter","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Porphyrobacter","Porphyrobacter"
"Novosphingobium","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium","Novosphingobium"
"Parasphingopyxis","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Parasphingopyxis","Parasphingopyxis"
"Rhizorhabdus","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Rhizorhabdus","Rhizorhabdus"
"Sandarakinorhabdus","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sandarakinorhabdus","Sandarakinorhabdus"
"Sphingobium","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","Sphingobium"
"Sphingomonas","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas"
"Sphingorhabdus","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingorhabdus","Sphingorhabdus"
"Achromobacter","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter","Achromobacter"
"Limnobacter","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Limnobacter","Limnobacter"
"Polynucleobacter","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter","Polynucleobacter"
"Ideonella","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_incertae_sedis","Ideonella","Ideonella"
"Rivibacter","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_incertae_sedis","Rivibacter","Rivibacter"
"Rubrivivax","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_incertae_sedis","Rubrivivax","Rubrivivax"
"Tepidimonas","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_incertae_sedis","Tepidimonas","Tepidimonas"
"Hydrogenophaga","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga","Hydrogenophaga"
"Polaromonas","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Polaromonas","Polaromonas"
"Variovorax","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","Variovorax"
"Herbaspirillum","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum","Herbaspirillum"
"Janthinobacterium","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium","Janthinobacterium"
"Oxalicibacterium","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Oxalicibacterium","Oxalicibacterium"
"Chitinivorax","Bacteria","Proteobacteria","Betaproteobacteria","Chitinivorax","Chitinivorax","Chitinivorax","Chitinivorax"
"Sideroxydans","Bacteria","Proteobacteria","Betaproteobacteria","Gallionellales","Gallionellaceae","Sideroxydans","Sideroxydans"
"Methylobacillus","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","Methylobacillus","Methylobacillus"
"Methylophilus","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","Methylophilus","Methylophilus"
"Methylotenera","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","Methylotenera","Methylotenera"
"Nitrosomonas","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","Nitrosomonas","Nitrosomonas"
"Nitrosospira","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","Nitrosospira","Nitrosospira"
"Azonexus","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Azonexus","Azonexus"
"Halobacteriovorax","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Halobacteriovorax","Halobacteriovorax"
"Peredibacter","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Peredibacter","Peredibacter"
"Bdellovibrio","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","Bdellovibrio"
"Vampirovibrio","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Vampirovibrio","Vampirovibrio"
"Pseudobacteriovorax","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Pseudobacteriovoracaceae","Pseudobacteriovorax","Pseudobacteriovorax"
"Bradymonas","Bacteria","Proteobacteria","Deltaproteobacteria","Bradymonadales","Bradymonadaceae","Bradymonas","Bradymonas"
"Deferrisoma","Bacteria","Proteobacteria","Deltaproteobacteria","Deltaproteobacteria_incertae_sedis","Deferrisoma","Deferrisoma","Deferrisoma"
"Dissulfuribacter","Bacteria","Proteobacteria","Deltaproteobacteria","Deltaproteobacteria_incertae_sedis","Dissulfuribacter","Dissulfuribacter","Dissulfuribacter"
"Desulfatirhabdium","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfatirhabdium","Desulfatirhabdium"
"Desulfatitalea","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfatitalea","Desulfatitalea"
"Desulfoconvexum","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfoconvexum","Desulfoconvexum"
"Desulfofaba","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfofaba","Desulfofaba"
"Desulfonatronobacter","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfonatronobacter","Desulfonatronobacter"
"Desulforegula","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulforegula","Desulforegula"
"Desulfosarcina","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfosarcina","Desulfosarcina"
"Desulfospira","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfospira","Desulfospira"
"Desulfobulbus","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","Desulfobulbus","Desulfobulbus"
"Desulfocapsa","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","Desulfocapsa","Desulfocapsa"
"Desulfofustis","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","Desulfofustis","Desulfofustis"
"Desulfopila","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","Desulfopila","Desulfopila"
"Desulfotalea","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","Desulfotalea","Desulfotalea"
"Desulfurivibrio","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","Desulfurivibrio","Desulfurivibrio"
"Desulfovermiculus","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfohalobiaceae","Desulfovermiculus","Desulfovermiculus"
